state,x,y
Andaman and Nicobar Islands,-306,-253
Andhra Pradesh,-94,-204
Arunachal Pradesh,340,221
Assam,292,156
Bihar,108,122
Chandigarh,-8,1
Delhi,-144,207
Goa,-233,-189
Gujarat,-282,49
Haryana,-162,255
Himachal Pradesh,-100,270
Jharkhand,68,63
Jammu,-202,362
Kashmir,-127,378
Ladakh,-134,313
Karnataka,-186,-214
Kerala,-166,-330
Lakshadweep,-267,-332
Madhya Pradesh,-128,48
Maharashtra,-179,-56
Manipur,301,101
Meghalaya,239,124
Mizoram,283,66
Nagaland,322,150
Odisha,57,-32
Punjab,-179,268
Rajasthan,-228,156
Sikkim,154,178
Tamil Nadu,-110,-319
Telangana,-102,-115
Tripura,246,74
Uttar Pradesh,-95,207
Uttarakhand,-89,255
West Bengal,146,48
